Grader,ElementType,TotalN,TotalS,TotalTP,TotalFP,TotalFN,TotalElements,Precision,Recall,F1
Human,Action,103.0,72.5,75.0,0.0,28.0,103.0,0.966667,0.703883,0.814607
Human,Composite State,22.0,20.5,21.0,0.0,1.0,22.0,0.97619,0.931818,0.953488
Human,Guard,57.0,45.5,49.0,0.0,8.0,57.0,0.928571,0.798246,0.858491
Human,History State,9.0,6.5,7.0,2.0,2.0,11.0,0.722222,0.722222,0.722222
Human,Region,15.0,13.0,13.0,0.0,2.0,15.0,1.0,0.866667,0.928571
Human,State,122.0,109.5,114.0,0.0,8.0,122.0,0.960526,0.897541,0.927966
Human,Transition,180.0,162.5,169.0,0.0,11.0,180.0,0.961538,0.902778,0.931232
Human,Overall,508.0,430.0,448.0,2.0,60.0,510.0,0.955556,0.846457,0.897704
Claude4.5Sonnet,Action,103.0,49.5,61.0,2.0,42.0,105.0,0.785714,0.480583,0.596386
Claude4.5Sonnet,Composite State,22.0,17.5,19.0,2.0,3.0,24.0,0.833333,0.795455,0.813953
Claude4.5Sonnet,Guard,57.0,37.0,44.0,0.0,13.0,57.0,0.840909,0.649123,0.732673
Claude4.5Sonnet,History State,9.0,4.5,5.0,0.0,4.0,9.0,0.9,0.5,0.642857
Claude4.5Sonnet,Region,15.0,11.0,11.0,0.0,4.0,15.0,1.0,0.733333,0.846154
Claude4.5Sonnet,State,122.0,96.5,99.0,5.0,23.0,127.0,0.927885,0.790984,0.853982
Claude4.5Sonnet,Transition,180.0,141.0,149.0,2.0,31.0,182.0,0.933775,0.783333,0.851964
Claude4.5Sonnet,Overall,508.0,357.0,388.0,11.0,120.0,519.0,0.894737,0.702756,0.787211
GPT-5.5,Action,103.0,77.0,95.0,0.0,8.0,103.0,0.810526,0.747573,0.777778
GPT-5.5,Composite State,22.0,20.0,22.0,0.0,0.0,22.0,0.909091,0.909091,0.909091
GPT-5.5,Guard,57.0,41.0,42.0,0.0,15.0,57.0,0.97619,0.719298,0.828283
GPT-5.5,History State,9.0,6.0,7.0,0.0,2.0,9.0,0.857143,0.666667,0.75
GPT-5.5,Region,15.0,14.0,15.0,0.0,0.0,15.0,0.933333,0.933333,0.933333
GPT-5.5,State,122.0,103.5,107.0,0.0,15.0,122.0,0.96729,0.848361,0.90393
GPT-5.5,Transition,180.0,151.5,168.0,2.0,12.0,182.0,0.891176,0.841667,0.865714
GPT-5.5,Overall,508.0,413.0,456.0,2.0,52.0,510.0,0.901747,0.812992,0.855072
Gemini3.1ProPreview,Action,103.0,61.0,68.0,0.0,35.0,103.0,0.897059,0.592233,0.71345
Gemini3.1ProPreview,Composite State,22.0,19.0,20.0,0.0,2.0,22.0,0.95,0.863636,0.904762
Gemini3.1ProPreview,Guard,57.0,39.0,42.0,0.0,15.0,57.0,0.928571,0.684211,0.787879
Gemini3.1ProPreview,History State,9.0,5.0,5.0,0.0,4.0,9.0,1.0,0.555556,0.714286
Gemini3.1ProPreview,Region,15.0,11.0,11.0,0.0,4.0,15.0,1.0,0.733333,0.846154
Gemini3.1ProPreview,State,122.0,102.0,105.0,0.0,17.0,122.0,0.971429,0.836066,0.898678
Gemini3.1ProPreview,Transition,180.0,148.5,157.0,0.0,23.0,180.0,0.94586,0.825,0.881306
Gemini3.1ProPreview,Overall,508.0,385.5,408.0,0.0,100.0,508.0,0.944853,0.758858,0.841703
